buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-CFS-277628,DESNZ,2,100000000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-311287,North of England Commercial Procurement Collaborative,1,100000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-327621,Supply Chain Coordination Limited,1,100000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/z47BvqZE,TEES VALLEY COMBINED AUTHORITY,59,98649370.22,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-307868,Department for Business and Trade,102,97275579.09,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-192422,West Yorkshire Combined Authority,64,95563991.56,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-189872,Barnsley Metropolitan Borough Council,110,93972407.33,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-ESX,East Sussex County Council,158,93718400.37,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/FDEK7nf7,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",128,89319992.14,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Z37KdXES,SUFFOLK COUNTY COUNCIL,82,84334233.67999999,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/8s944V4W,North Yorkshire Council,93,82200563.75,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-308284,National Highways,116,81837926.29,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-131948,Derbyshire County Council,131,79862795.8,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/BpB93Ch9,South Tyneside Council,65,79801682.11,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-49206,Nottingham City Council,211,78082959.8901,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/zbKz776r,Lancashire Constabulary,110,77598466.75,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-51066,Nottingham City Council,73,75716044.239,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-HIL,London Borough of Hillingdon,77,75255181.23,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/V3SG8j4A,THIRTEEN HOUSING GROUP LIMITED,85,73500641.4,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-16,Sandwell Metropolitan Borough Council,51,73395393.72,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/Ghxe296B,West Northamptonshire Council,154,70235973.78999999,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/PFcF5f84,The Insolvency Service,54,69432097.22,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-154927,Suffolk County Council Passenger Transport,906,67781109.9,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-188959,City of Bradford Metropolitan District Council,91,67549791.8,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-BIR,BIRMINGHAM CITY COUNCIL,213,64254128.72,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/6gKE6MZH,SOUTHERN HOUSING,62,62205114.21,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-58010,Leicestershire County Council,240,61177182.13,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/3UB3r29F,DUDLEY MBC,92,59854967.26,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/NDfF5Gvb,Government Legal Department,91,59324711.94,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/axN79Bfk,West Yorkshire Combined Authority,60,59272615.05,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-EA71,The National Archives,69,57863694.37,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-254798,UK Health Security Agency,91,57672068.41,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-DAL,Darlington Borough Council,225,57506152.3,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/rZMs3g9n,NORTHERN HOUSING CONSORTIUM LIMITED,212,56551263.21,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-255544,UK Health Security Agency,89,56382322.57,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/urSt89dk,South Yorkshire Police Headquarters,50,55898714.99,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-51197,Lincolnshire County Council,64,54510411.36,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-68462,Nottinghamshire County Council,60,53555475.43,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2JAv6sFy,Staffordshire County Council,104,53394187.8,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/bf3h7Y7s,NATIONAL WEALTH FUND LIMITED,93,52874824.38,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-290904,Westminster City Council,62,51548487.63,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-170514,Greater Manchester Combined Authority,76,48852628.0,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/d74ZA5zA,UNIVERSITY OF SOUTHAMPTON,66,47180927.9,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/nb7K3Nvb,University of Portsmouth,52,45011662.82,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-50894,Wolverhampton City Council,92,44111486.89,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-249000,Westmorland and Furness Council,86,43874448.97,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-216017,Norfolk and Norwich University Hospitals NHS Foundation Trust,104,43776191.59,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-306109,Buckinghamshire Council - e-Tendering System,495,43169008.61,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Pesn8463,"Department for Culture, Media and Sport",74,42926762.84,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/9zBK4N6s,COVENTRY CITY COUNCIL,107,42699596.41,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/AnUx84x7,Coventry University,76,42245134.6,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/sWfz42zD,West Midlands Combined Authority,99,42226902.62,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/pH2E93Mx,British Transport Police,73,40877465.88,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-126345,Partners Procurement Service (PPS),129,39397434.22,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-163473,DfTc - Department for Transport,52,38771008.68,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-292260,Cheshire Constabulary,53,38113540.52,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/djMX46dB,Tees Valley Combined Authority,50,37950429.66,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-D240,O F W A T,58,37214236.79,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/By5B2FN2,Northumberland County Council,59,36473289.14,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/5JM9tyCn,Nottingham City Council,54,35974978.43,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/BxeD58qn,FCDO Services,321,35823363.65,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-140061,Peterborough City Council,102,34311455.05,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/sBN45ywB,National Audit Office,120,33436595.94,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-NTY,NORTH TYNESIDE COUNCIL,97,31552395.94,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-168564,Homes England (the name adopted by the Homes and Communities Agency),128,31018372.86,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-EA46,Met Office,164,30930106.31,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-D241,UK EXPORT FINANCE,56,30666676.05,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/RTZp9527,Cambridgeshire County Council,63,27941532.1,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-138001,Gloucestershire County Council,109,27301354.6,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-EA42,Defence Science and Technology Laboratory,99,26694795.66,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-244021,West Sussex County Council,89,24969355.89,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-GOR-D7,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,70,24662041.4,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-279337,"Police, Fire & Crime Commissioner for Staffordshire",73,21836601.75,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/XhPB26DC,SOMERSET COUNCIL,69,21073749.72,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-186378,North Lincolnshire Council,172,20492846.38,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2gx98Qm7,THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE,71,20434001.73,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-116151,Tameside Metropolitan Borough Council,67,20082977.89,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/QEQn82G8,POLICE DIGITAL SERVICE,52,19661863.88,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/hRK774t6,UNIVERSITY OF DERBY,52,18842813.0,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-153693,Redditch Borough Council,58,18587946.8,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-50123,Darlington Borough Council,58,18384399.69,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-278887,Bradford Teaching Hospitals NHS Foundation Trust,107,16804134.38,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-271915,University Hospitals Birmingham NHS Foundation Trust,50,13841872.75,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/vkU269eN,University Of The West Of England,136,13745594.71,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Zj5uFppq,UK RESEARCH & INNOVATION,1007,13605263.34,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/ysmd84Me,WEST MIDLANDS COMBINED AUTHORITY,54,12591317.23,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-LAE-IPS,Ipswich Borough Council,83,12493421.74,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/D8JBmaGh,Partners Procurement Service,62,12196668.6,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-254227,Leicester City Council,340,11496859.18,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/FrqU3KsZ,Middlesbrough Council,55,10929117.67,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-170575,Homes England (the name adopted by the Homes and Communities Agency),75,10821183.66,50-199 awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-218150,Leicester City Council,318,10559527.38,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-CFS-217073,Leicester City Council,252,10207775.31,200+ awards,£10M-<£100M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/PFEA6gBq,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,58,9919705.47,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-52395,Leicester City Council,62,9398580.0,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/nAGk82Ar,Warwickshire Police,60,9015160.78,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-229255,Leeds Teaching Hospitals NHS Trust,72,8535198.82,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-105317,Durham County Council,53,8299705.95,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/SCYu64qt,UNIVERSITY OF EAST ANGLIA,67,8185315.4,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/BjDD3hUA,East Hampshire District Council,71,8045439.02,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-180415,London Ambulance Service NHS Trust,64,7448685.24,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/jBZs3Y7f,West Midlands Fire Service,59,6346168.63,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-289425,Leicester City Council,122,5822603.6,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-254220,Leicester City Council,131,5504911.0,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-294787,MCA - Maritime and Coastguard Agency,52,5395036.14,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-187017,Historic England,55,5389711.52,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-257790,Leicester City Council,155,5076568.07,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-84936,Wokingham Borough Council,106,2980004.0,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-289516,Leicester City Council,73,2895941.1,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/hWvd872d,Natural England,85,1965973.37,50-199 awards,£1M-<£10M,High activity / Lower value
ID:GB-CFS-168339,London Borough of Enfield,50,458219.76,50-199 awards,£100K-<£1M,High activity / Lower value
ID:GB-CFS-244822,Communities and Housing Investment Consortium Limited,133,0.0,50-199 awards,<£100K,High activity / Lower value
