buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-CFS-187357,Sheffield City Council,128,897509900.97,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-319195,Supply Chain Coordination Limited,1,880000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-319169,Ministry of Defence,1,878000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-99308,Department for Education,151,877743391.26,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-67123,Oxfordshire County Council,5,848701707.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-82140,Liverpool City Council,24,835580671.4499999,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-292258,British Telecommunications plc,1,800000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-26226,Procurement for Housing,15,762500000.0,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-310343,Kent County Council (T/a Procurement Services),5,750000004.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-279772,Defra Commercial,74,747036822.81,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-328360,National Highways Limited,8,727323300.2,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-242784,Cumberland Council,94,687603075.35,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-134560,Department for Education,76,681495881.45,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/5WZu8KXU,Transport for London,83,602470596.28,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-307303,Halton Housing c/o Link Group,1,600000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-319947,"Cumbria, Northumberland Tyne and Wear NHS Foundation Trust C/O Sustainable Energy First Limited",1,595000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-241000,NHS England,50,581123748.88,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/9yt6Qa35,BANK OF ENGLAND,267,572740856.4,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-135448,Ministry of Justice,280,565902790.38,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-261344,Nuclear Decommissioning Authority,1,522300000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-171315,Intellectual Property Office,11,506737279.65,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-232497,Foreign Commonwealth and Development Office,1,500000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-189214,Ministry of Justice,5,497808805.84,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-309882,Milton Keynes City Council,21,490572924.14,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/FdrJ277p,North Northamptonshire Council,121,485629162.47,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-231214,NS&I,21,475807826.33,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-323647,JV North Limited,1,475000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-323043,NHS England,1,459652576.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-163767,BHCC ASC,1,450000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-253339,BDUK,5,446328025.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-151067,Foreign Commonwealth and Development Office,186,438893095.949,50-199 awards,£100M-<£1B,High activity / High value
