duration_band,award_count,allocated_value,award_share_percent,value_share_percent
1-<3 years,14299,152164473038.042,31.76779009575437,33.828428524990635
10-<20 years,200,20177611886.72,0.444335829019573,4.485783625355577
20+ years,17,5065520751.59,0.0377685454666637,1.1261407033176432
3-<5 years,10315,197852161713.71,22.916620381684478,43.98548213927591
5-<10 years,3207,52459105134.6161,7.124925018328852,11.662440339064345
<1 year,16973,22093547598.9201,37.70856012974606,4.911724667995895
