award_value_band,award_count,allocated_value,award_share_percent,value_share_percent
<£100K,23318,967365426.462,51.80511430539202,0.21505974116859428
Unknown,5,0.0,0.011108395725489325,0.0
£100K-<£1M,15623,4907231383.9262,34.70929328386394,1.0909506194999696
£100M-<£1B,247,73750880915.65,0.5487547488391726,16.395919191245305
£10M-<£100M,1152,34405257579.3,2.5593743751527405,7.648801153566687
£1B+,64,321392635898.0,0.14218746528626336,71.4503694250347
£1M-<£10M,4602,14389048920.26,10.224167425740374,3.1988998694847552
