supplier_key,canonical_supplier_name,allocated_award_value,award_count,buyer_count,supplier_id_count,supplier_identity_flags,identity_review_flags,supplier_rank,value_share,cumulative_value_share,value_band
SUP_ID:GB-CFS-312921,Milestone Infrastructure Limited,840000000.0,1,1,1,confirmed_id,no_name_conflict,36,0.0026679250035593,0.5140883009703452,£100M–<£1B
SUP_ID:GB-COH-02299747,Capita Business Services Ltd,830793119.1328571,19,19,1,id_multiple_names_review,review_name_variation,37,0.0026386830182376,0.5167269839885829,£100M–<£1B
SUP_ID:GB-CFS-292259,British Telecommunications plc,800000000.0,1,1,1,confirmed_id,no_name_conflict,38,0.0025408809557708,0.5192678649443537,£100M–<£1B
SUP_ID:GB-COH-00488182,CORPORATE TRAVEL MANAGEMENT (NORTH) LIMITED,783452464.9266666,11,11,1,id_multiple_names_review,review_name_variation,39,0.0024883243098548,0.5217561892542086,£100M–<£1B
SUP_ID:GB-COH-09989718,Nomia,750000000.0,1,1,1,confirmed_id,no_name_conflict,40,0.0023820758960351,0.5241382651502438,£100M–<£1B
SUP_ID:GB-CFS-306702,Alexander Mann Solutions,739200000.0,1,1,1,confirmed_id,no_name_conflict,41,0.0023477740031322,0.526486039153376,£100M–<£1B
SUP_ID:GB-COH-00701982,Bowmer & Kirkland Ltd,723397283.03,42,42,1,id_multiple_names_review,review_name_variation,42,0.0022975829748841,0.5287836221282601,£100M–<£1B
SUP_ID:GB-COH-04320853,Ingeus UK Limited,693211160.54,5,5,1,id_multiple_names_review,review_name_variation,43,0.0022017087951798,0.53098533092344,£100M–<£1B
SUP_ID:GB-COH-09072343,MAXIMUS UK SERVICES LIMITED,692478410.0,1,1,1,confirmed_id,no_name_conflict,44,0.0021993815053143,0.5331847124287543,£100M–<£1B
SUP_ID:GB-COH-02099533,Kier Construction,686382868.31,27,27,1,id_multiple_names_review,review_name_variation,45,0.0021800214480703,0.5353647338768246,£100M–<£1B
SUP_ID:GB-CFS-309772,STRABAG Rhomberg Sersa Joint Venture,652333333.3333334,1,1,1,confirmed_id,no_name_conflict,46,0.0020718766793514,0.5374366105561761,£100M–<£1B
SUP_ID:GB-CFS-309774,Ferrovial BAM Joint Venture,652333333.3333334,1,1,1,confirmed_id,no_name_conflict,47,0.0020718766793514,0.5395084872355276,£100M–<£1B
SUP_ID:GB-CFS-309773,Colas Rail Ltd,652333333.3333334,1,1,1,confirmed_id,no_name_conflict,48,0.0020718766793514,0.5415803639148791,£100M–<£1B
SUP_ID:GB-COH-01245534,Atos IT Services UK Limited,592695545.8837209,6,6,1,id_multiple_names_review,review_name_variation,49,0.0018824610313826,0.5434628249462617,£100M–<£1B
SUP_ID:GB-COH-01738371,EQUANS REGENERATION LIMITED,549663525.2966666,7,7,1,id_multiple_names_review,review_name_variation,50,0.0017457869793852,0.545208611925647,£100M–<£1B
SUP_ID:GB-COH-01977948,WATES CONSTRUCTION LIMITED,525294428.58,10,10,1,id_multiple_names_review,review_name_variation,51,0.0016683882621893,0.5468770001878362,£100M–<£1B
SUP_ID:GB-CFS-329033,Alexander Mann Solutions Limited,522300000.0,1,1,1,confirmed_id,no_name_conflict,52,0.0016588776539988,0.5485358778418351,£100M–<£1B
SUP_ID:GB-COH-08664789,Constellia Public Ltd.,511230656.21,64,64,1,id_multiple_names_review,review_name_variation,53,0.0016237202979627,0.5501595981397979,£100M–<£1B
SUP_ID:GB-COH-00943935,Capgemini UK PLC,506997937.45,25,25,1,id_multiple_names_review,review_name_variation,54,0.0016102767548522,0.5517698748946501,£100M–<£1B
SUP_ID:GB-CFS-300093,Ultima Business Solutions Limited,506071147.0,1,1,1,confirmed_id,no_name_conflict,55,0.0016073331745967,0.5533772080692468,£100M–<£1B
SUP_ID:GB-COH-02109168,Boxxe Limited,493100359.6037209,39,39,1,id_multiple_names_review,review_name_variation,56,0.001566136641251,0.5549433447104979,£100M–<£1B
SUP_ID:GB-CFS-235680,SOFTCAT PLC,486479315.85,94,94,1,confirmed_id,no_name_conflict,57,0.0015451075362746,0.5564884522467725,£100M–<£1B
SUP_ID:GB-COH-03725404,FORELAND SHIPPING LIMITED,476592506.0,1,1,1,confirmed_id,no_name_conflict,58,0.0015137060276981,0.5580021582744705,£100M–<£1B
SUP_ID:GB-CFS-318729,Mears Limited,475000000.0,1,1,1,confirmed_id,no_name_conflict,59,0.0015086480674889,0.5595108063419595,£100M–<£1B
SUP_ID:GB-CFS-323044,Multiple Suppliers,459652576.0,1,1,1,confirmed_id,no_name_conflict,60,0.0014599030957867,0.5609707094377463,£100M–<£1B
SUP_ID:GB-COH-00947968,CGI IT UK LIMITED,432311900.04,13,13,1,id_multiple_names_review,review_name_variation,61,0.0013730663422059,0.5623437757799522,£100M–<£1B
SUP_ID:GB-COH-02183240,Trustmarque Solutions Ltd,411553117.24372095,23,23,1,id_multiple_names_review,review_name_variation,62,0.0013071343473658,0.563650910127318,£100M–<£1B
SUP_ID:GB-CFS-308239,Costain Limited,408545165.87,1,1,1,confirmed_id,no_name_conflict,63,0.0012975807894141,0.5649484909167322,£100M–<£1B
SUP_ID:GB-CFS-307107,Siemens Mobility Limited,404040003.47,3,3,1,confirmed_id,no_name_conflict,64,0.0012832719377331,0.5662317628544653,£100M–<£1B
SUP_ID:GB-CFS-312055,G W Highways Ltd,400000000.0,1,1,1,confirmed_id,no_name_conflict,65,0.0012704404778854,0.5675022033323507,£100M–<£1B
SUP_ID:GB-COH-00303359,Tilbury Douglas,392167143.77,29,29,1,id_multiple_names_review,review_name_variation,66,0.0012455625338552,0.568747765866206,£100M–<£1B
SUP_ID:GB-CFS-312231,Sport and Leisure Management,378000000.0,1,1,1,confirmed_id,no_name_conflict,67,0.0012005662516017,0.5699483321178077,£100M–<£1B
SUP_ID:GB-COH-02174990,Softcat PLC,376159376.74372095,229,229,1,id_multiple_names_review,review_name_variation,68,0.0011947202458784,0.5711430523636861,£100M–<£1B
SUP_ID:GB-CFS-87368,Costain,368166723.0,1,1,1,confirmed_id,no_name_conflict,69,0.001169334768774,0.5723123871324602,£100M–<£1B
SUP_ID:GB-COH-02291198,SUEZ RECYCLING AND RECOVERY UK LTD,362523475.01,5,5,1,id_multiple_names_review,review_name_variation,70,0.0011514112420909,0.5734637983745512,£100M–<£1B
SUP_ID:GB-COH-03578140,Seddon Construction Limited,359347583.9,10,10,1,id_multiple_names_review,review_name_variation,71,0.0011413242905422,0.5746051226650934,£100M–<£1B
SUP_ID:GB-CFS-281547,Fera Science Ltd,346070125.86,7,7,1,confirmed_id,no_name_conflict,72,0.0010991537401986,0.5757042764052921,£100M–<£1B
SUP_ID:GB-COH-00845310,Fr Aviation t/a Draken Europe,346000000.0,2,2,1,confirmed_id,no_name_conflict,73,0.0010989310133708,0.576803207418663,£100M–<£1B
SUP_ID:GB-CFS-311158,Axis Europe PLC,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,74,0.0010836615680931,0.5778868689867561,£100M–<£1B
SUP_ID:GB-CFS-311161,T Gilmartin Ltd,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,75,0.0010836615680931,0.5789705305548493,£100M–<£1B
SUP_ID:GB-CFS-311157,Wates Property Services Ltd,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,76,0.0010836615680931,0.5800541921229424,£100M–<£1B
SUP_ID:GB-CFS-311160,Axis Europe PLC,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,77,0.0010836615680931,0.5811378536910355,£100M–<£1B
SUP_ID:GB-CFS-311156,KBH Building Services Limited,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,78,0.0010836615680931,0.5822215152591287,£100M–<£1B
SUP_ID:GB-CFS-311159,Wates Property Services,341192393.3333333,2,2,1,confirmed_id,no_name_conflict,79,0.0010836615680931,0.5833051768272218,£100M–<£1B
SUP_ID:GB-CFS-87611,Non Award,340000000.0,1,1,1,confirmed_id,no_name_conflict,80,0.0010798744062026,0.5843850512334244,£100M–<£1B
SUP_ID:GB-CFS-284508,Mitie Care & Custody,329000000.0,1,1,1,confirmed_id,no_name_conflict,81,0.0010449372930607,0.5854299885264852,£100M–<£1B
SUP_ID:GB-CFS-310304,Siemens Mobility Costain JV,328237076.84,1,1,1,confirmed_id,no_name_conflict,82,0.0010425141719008,0.586472502698386,£100M–<£1B
SUP_ID:GB-CFS-308185,BFBS,320712000.0,1,1,1,confirmed_id,no_name_conflict,83,0.0010186137663589,0.587491116464745,£100M–<£1B
SUP_ID:GB-CFS-318264,HOLT MEDICAL RECRUITMENT LIMITED,310000000.0,1,1,1,confirmed_id,no_name_conflict,84,0.0009845913703611,0.5884757078351062,£100M–<£1B
SUP_ID:GB-CFS-312232,SMG UK Ltd t/a ASM Global,310000000.0,1,1,1,confirmed_id,no_name_conflict,85,0.0009845913703611,0.5894602992054674,£100M–<£1B
SUP_ID:GB-COH-04273754,Morgan Sindall Construction and Infrastructure Ltd,307230590.47,29,29,1,id_multiple_names_review,review_name_variation,86,0.0009757954454443,0.5904360946509117,£100M–<£1B
SUP_ID:GB-CFS-314181,MACE CONSULT LIMITED,307000000.0,1,1,1,confirmed_id,no_name_conflict,87,0.000975063066777,0.5914111577176888,£100M–<£1B
SUP_ID:GB-CFS-322950,Axis Europe Ltd,300000000.0,1,1,1,confirmed_id,no_name_conflict,88,0.000952830358414,0.5923639880761029,£100M–<£1B
SUP_ID:GB-CFS-52305,Ian Williams Ltd,300000000.0,1,1,1,confirmed_id,no_name_conflict,89,0.000952830358414,0.593316818434517,£100M–<£1B
SUP_ID:GB-CFS-172711,Esh Homes Limited,300000000.0,1,1,1,confirmed_id,no_name_conflict,90,0.000952830358414,0.5942696487929311,£100M–<£1B
SUP_ID:GB-CFS-248030,Wates Property Services Limited,300000000.0,1,1,1,confirmed_id,no_name_conflict,91,0.000952830358414,0.5952224791513452,£100M–<£1B
SUP_ID:GB-CFS-322952,T Gilmartin Ltd,300000000.0,1,1,1,confirmed_id,no_name_conflict,92,0.000952830358414,0.5961753095097593,£100M–<£1B
SUP_ID:GB-CFS-322951,Cardo (South) Ltd,300000000.0,1,1,1,confirmed_id,no_name_conflict,93,0.000952830358414,0.5971281398681734,£100M–<£1B
SUP_ID:GB-CFS-322410,PeoplePlus Group Ltd,299000000.0,3,3,1,confirmed_id,no_name_conflict,94,0.0009496542572193,0.5980777941253927,£100M–<£1B
SUP_ID:GB-COH-06191086,Equal Experts UK Limited,294590000.0,2,2,1,confirmed_id,no_name_conflict,95,0.0009356476509506,0.5990134417763434,£100M–<£1B
SUP_ID:GB-COH-NI003503,John Graham Construction Limited,289577433.53588235,7,7,1,id_multiple_names_review,review_name_variation,96,0.0009197272326153,0.5999331690089588,£100M–<£1B
SUP_ID:GB-CFS-305589,British Telecommunications plc,289222735.0,4,4,1,confirmed_id,no_name_conflict,97,0.0009186006741718,0.6008517696831306,£100M–<£1B
SUP_ID:GB-COH-01782505,Oracle Corporation Uk Limited,286321719.6,45,45,1,id_multiple_names_review,review_name_variation,98,0.0009093867556939,0.6017611564388246,£100M–<£1B
SUP_ID:GB-COH-00096056,Fujitsu Services Limited,281925958.0,4,4,1,id_multiple_names_review,review_name_variation,99,0.0008954253720245,0.6026565818108491,£100M–<£1B
SUP_ID:GB-COH-04757301,ACCENTURE (UK) LIMITED,267884292.13444445,19,19,1,id_multiple_names_review,review_name_variation,100,0.0008508276202932,0.6035074094311423,£100M–<£1B
