procurement_method_group,award_count,allocated_value,median_award_value,award_share_percent,value_share_percent
Open,8429,324051121463.638,86966.0,18.726533514029903,72.04139035880695
Selective,22398,108494982604.2721,121508.425,49.76116949190198,24.120050436682064
Unknown,7526,8286213960.2881,77296.4,16.720357246006532,1.8421487690382667
Limited,1755,5595868082.56,50428.56,3.899046899646753,1.2440448133963007
Direct,4903,3384234012.84,63940.0,10.892892848414832,0.7523656220764402
