supplier_percentile,supplier_count,allocated_value,value_share_percent
Top 1%,368,223437726040.6928,70.96608286219228
Top 5%,1838,273253827710.2249,86.78818086504953
Top 10%,3675,293596039224.666,93.24907309446272
Top 25%,9187,309302305367.8543,98.23754216064968
Top 50%,18373,313774595421.7272,99.65798673897078
