activity_band,buyer_count,award_count,allocated_value,median_buyer_value,mean_buyer_value,median_awards_per_buyer,mean_awards_per_buyer,buyer_share,award_share,value_share
1 award,3190,3190,69161685973.9381,239700.0,21680779.302174952,1.0,1.0,53.34448160535117,7.08715647286219,15.375672809331062
2-9 awards,2012,7531,143996863034.23,1005135.0,71569017.41263917,3.0,3.743041749502982,33.64548494983278,16.731465641732022,32.01264718183259
10-49 awards,610,12828,33553726677.736,8920142.915,55006109.307763934,17.0,21.029508196721316,10.200668896321073,28.49970007331541,7.459493152393658
50-199 awards,144,12791,44581214825.624,57027195.49,309591769.6223889,77.5,88.82638888888889,2.4080267558528425,28.41749794494679,9.911067998828068
200+ awards,24,8671,158518929612.0701,110383934.98005,6604955400.502921,286.5,361.2916666666667,0.4013377926421404,19.26417986714359,35.24111885761463
