buyer_segment,buyer_count,award_count,allocated_value,median_awards_per_buyer,median_buyer_value,buyer_share,award_share,value_share
High activity / High value,59,8653,198831685468.975,104.0,334531050.62,0.9866220735785952,19.224189642531822,44.20324485801005
High activity / Lower value,109,12809,4268458968.7191,77.0,37214236.79,1.822742474916388,28.45748816955855,0.948941998432641
Lower activity / High value,171,1636,220614821416.38,4.0,262470637.43,2.859531772575251,3.6346670813801074,49.04596039294781
Lower activity / Lower value,5641,21913,26097454269.5241,1.0,566470.0,94.33110367892976,48.68365510652952,5.801852750609491
